year_month,ADM1_EN,convergence_score,metric
2014-03,Central Equatoria,0,n_events_total
2014-04,Central Equatoria,0,n_events_total
2014-05,Central Equatoria,0,n_events_total
2014-07,Central Equatoria,0,n_events_total
2014-11,Central Equatoria,0,n_events_total
2014-12,Central Equatoria,0,n_events_total
2015-01,Central Equatoria,0,n_events_total
2015-02,Central Equatoria,0,n_events_total
2015-03,Central Equatoria,0,n_events_total
2015-04,Central Equatoria,0,n_events_total
2015-05,Central Equatoria,3,n_events_total
2015-06,Central Equatoria,0,n_events_total
2015-07,Central Equatoria,0,n_events_total
2015-08,Central Equatoria,0,n_events_total
2015-09,Central Equatoria,0,n_events_total
2015-10,Central Equatoria,1,n_events_total
2015-11,Central Equatoria,0,n_events_total
2015-12,Central Equatoria,0,n_events_total
2016-01,Central Equatoria,1,n_events_total
2016-02,Central Equatoria,1,n_events_total
2016-03,Central Equatoria,2,n_events_total
2016-04,Central Equatoria,1,n_events_total
2016-05,Central Equatoria,1,n_events_total
2016-06,Central Equatoria,0,n_events_total
2016-07,Central Equatoria,5,n_events_total
2016-08,Central Equatoria,3,n_events_total
2016-09,Central Equatoria,1,n_events_total
2016-10,Central Equatoria,2,n_events_total
2016-11,Central Equatoria,2,n_events_total
2016-12,Central Equatoria,0,n_events_total
2017-01,Central Equatoria,0,n_events_total
2017-02,Central Equatoria,0,n_events_total
2017-03,Central Equatoria,2,n_events_total
2017-04,Central Equatoria,0,n_events_total
2017-05,Central Equatoria,0,n_events_total
2017-06,Central Equatoria,1,n_events_total
2017-07,Central Equatoria,0,n_events_total
2017-08,Central Equatoria,1,n_events_total
2017-09,Central Equatoria,0,n_events_total
2017-10,Central Equatoria,0,n_events_total
2017-11,Central Equatoria,0,n_events_total
2017-12,Central Equatoria,0,n_events_total
2018-01,Central Equatoria,1,n_events_total
2018-02,Central Equatoria,2,n_events_total
2018-03,Central Equatoria,0,n_events_total
2018-04,Central Equatoria,1,n_events_total
2018-05,Central Equatoria,0,n_events_total
2018-06,Central Equatoria,0,n_events_total
2018-07,Central Equatoria,0,n_events_total
2018-08,Central Equatoria,0,n_events_total
2018-09,Central Equatoria,0,n_events_total
2018-10,Central Equatoria,0,n_events_total
2018-11,Central Equatoria,0,n_events_total
2018-12,Central Equatoria,0,n_events_total
2019-01,Central Equatoria,0,n_events_total
2019-02,Central Equatoria,0,n_events_total
2019-03,Central Equatoria,0,n_events_total
2019-04,Central Equatoria,0,n_events_total
2019-05,Central Equatoria,1,n_events_total
2019-06,Central Equatoria,0,n_events_total
2019-07,Central Equatoria,0,n_events_total
2019-08,Central Equatoria,0,n_events_total
2019-09,Central Equatoria,0,n_events_total
2019-10,Central Equatoria,1,n_events_total
2019-11,Central Equatoria,1,n_events_total
2019-12,Central Equatoria,0,n_events_total
2020-01,Central Equatoria,0,n_events_total
2020-02,Central Equatoria,0,n_events_total
2020-03,Central Equatoria,0,n_events_total
2020-04,Central Equatoria,0,n_events_total
2020-05,Central Equatoria,0,n_events_total
2020-06,Central Equatoria,0,n_events_total
2020-07,Central Equatoria,0,n_events_total
2020-08,Central Equatoria,0,n_events_total
2020-09,Central Equatoria,0,n_events_total
2020-10,Central Equatoria,0,n_events_total
2020-11,Central Equatoria,0,n_events_total
2020-12,Central Equatoria,0,n_events_total
2021-01,Central Equatoria,0,n_events_total
2021-02,Central Equatoria,0,n_events_total
2021-03,Central Equatoria,0,n_events_total
2021-04,Central Equatoria,0,n_events_total
2021-05,Central Equatoria,0,n_events_total
2021-06,Central Equatoria,0,n_events_total
2021-07,Central Equatoria,0,n_events_total
2021-08,Central Equatoria,2,n_events_total
2021-09,Central Equatoria,0,n_events_total
2021-10,Central Equatoria,0,n_events_total
2021-11,Central Equatoria,0,n_events_total
2021-12,Central Equatoria,1,n_events_total
2022-01,Central Equatoria,0,n_events_total
2022-02,Central Equatoria,1,n_events_total
2022-03,Central Equatoria,1,n_events_total
2022-04,Central Equatoria,1,n_events_total
2022-05,Central Equatoria,0,n_events_total
2022-06,Central Equatoria,1,n_events_total
2022-07,Central Equatoria,1,n_events_total
2022-08,Central Equatoria,1,n_events_total
2022-09,Central Equatoria,1,n_events_total
2022-10,Central Equatoria,0,n_events_total
2022-11,Central Equatoria,1,n_events_total
